tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,tt9,tt10,tt11,tt12,tt13,tt14,tt15,tt16,tt17,tt18,tt19,tt20,tt21,tt22,tt23,tt24,tt25,tt26,tt27,tt28,tt29,tt30,tt31,tt32,tt33,tt34,tt35,tt36,tt37,tt38,tt39,tt40,tt41,tt42,tt43,tt44,tt45,tt46,tt47,tt48,tt49,tt50,tt51,tt52,tt53,tt54,tt55,tt56,tt57,tt58,tt59,tt60,tt61,tt62,tt63,tt64,tt65,tt66,tt67,tt68,tt69,tt70,tt71,tt72,tt73,tt74,tt75,tt76,tt77,tt78,tt79,tt80,tt81,tt82,tt83,tt84,tt85,tt86,tt87,tt88,tt89,tt90,tt91,tt92,tt93,tt94,tt95,tt96,tt97,tt98,tt99,tt100,tt101,tt102,tt103,tt104,tt105,tt106,tt107,tt108,tt109,tt110,tt111,tt112,tt113,tt114,tt115,tt116,tt117,tt118,tt119,tt120,tt121,tt122,tt123,tt124,tt125,tt126,tt127,tt128,tt129,tt130,tt131,tt132,tt133,tt134,tt135,tt136,tt137,tt138,tt139,tt140,tt141,tt142,tt143,tt144,tt145,tt146,tt147,tt148,tt149,tt150,tt151,tt152,tt153,tt154,tt155,tt156,tt157,tt158,tt159,tt160,tt161,tt162,tt163,tt164,tt165,tt166,tt167,tt168,tt169,tt170,tt171,tt172,tt173,tt174,tt175,tt176,tt177,tt178,tt179,tt180,tt181,tt182,tt183,tt184,tt185,tt186,tt187,tt188,tt189,tt190,tt191,tt192,tt193,tt194,tt195,tt196,tt197,tt198,tt199,tt200,tt201,tt202,tt203,tt204,tt205,tt206,tt207,tt208,tt209,tt210,tt211
'org.eclipse.help.appserver','org.eclipse.help.internal.appserver',0,0,0,0,0,2.974358974,15,116,7,39,273,1.41025641,5,55,5,1.4,5,7,0.2,1,1,4.8,8,24,0.8,1,4,1.4,6,7,3,8,15,1.230769231,7,48,83.8,145,419,1.923076923,9,75,0,8,8,6,15,0,21,75,2,1,4,13,0,18,5,0,0,0,0,0,35,2,14,5,22,12,26,1,36,0,39,118,19,16,5,3,4,1,22,60,35,767,161,61,17,3,0,0,0,0,0,3,5,13,5,0,0,5,53,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1866,0,0.004287245,0.004287245,0.003215434,0.008038585,0,0.011254019,0.040192926,0.001071811,5.36E-04,0.002143623,0.006966774,0,0.009646302,0.002679528,0,0,0,0,0,0.018756699,0.001071811,0.00750268,0.002679528,0.011789925,0.006430868,0.013933548,5.36E-04,0.019292605,0,0.020900322,0.06323687,0.010182208,0.008574491,0.002679528,0.001607717,0.002143623,5.36E-04,0.011789925,0.032154341,0.018756699,0.411039657,0.086280815,0.032690247,0.009110397,0.001607717,0,0,0,0,0,0.001607717,0.002679528,0.006966774,0.002679528,0,0,0.002679528,0.028403001,0.018220793,0,0.001071811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046087889
'org.eclipse.jdt.junit','org.eclipse.jdt.internal.junit.launcher',3,3,1.375,11,11,6.25,24,450,10.30555556,38,742,1.833333333,6,132,8,1.777777778,14,16,0,0,0,7.888888889,32,71,1,1,8,0.666666667,5,6,0.111111111,1,1,1.416666667,5,102,137.75,479,1102,2.513888889,10,181,11,14,16,10,43,0,71,198,21,0,23,21,1,71,8,0,0,0,0,0,268,0,22,4,72,165,95,0,37,0,86,451,61,58,8,16,4,5,73,820,60,3062,426,139,96,2,0,7,0,0,0,0,2,19,9,0,9,4,140,114,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,6986,0.001574578,0.002004008,0.002290295,0.001431434,0.006155167,0,0.010163184,0.028342399,0.003006012,0,0.003292299,0.003006012,1.43E-04,0.010163184,0.001145147,0,0,0,0,0,0.038362439,0,0.003149155,5.73E-04,0.010306327,0.023618666,0.013598626,0,0.005296307,0,0.012310335,0.064557687,0.008731749,0.008302319,0.001145147,0.002290295,5.73E-04,7.16E-04,0.01044947,0.117377612,0.008588606,0.438305182,0.060979101,0.019896937,0.013741769,2.86E-04,0,0.001002004,0,0,0,0,2.86E-04,0.002719725,0.001288291,0,0.001288291,5.73E-04,0.02004008,0.016318351,0,0.001145147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019467506
'org.eclipse.jdt.junit','org.eclipse.jdt.internal.junit.runner',1,0,0.5,1,1,5.263157895,30,200,9.210526316,48,350,1.763157895,6,67,2,3.75,12,15,0,0,0,9.25,34,37,1,1,2,4.25,16,17,0.25,1,1,1.157894737,4,44,244.5,470,489,3.157894737,19,120,1,22,10,4,20,0,39,114,12,2,11,19,12,23,2,0,0,0,0,0,123,0,32,9,46,21,69,0,47,0,39,200,34,42,2,4,13,7,57,94,22,1052,176,63,57,1,0,0,0,0,2,8,4,14,4,0,1,9,83,42,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2787,3.59E-04,0.007893793,0.003588088,0.001435235,0.007176175,0,0.013993541,0.040904198,0.004305705,7.18E-04,0.003946896,0.006817366,0.004305705,0.008252601,7.18E-04,0,0,0,0,0,0.044133477,0,0.01148188,0.003229279,0.016505203,0.007534984,0.024757804,0,0.016864011,0,0.013993541,0.071761751,0.012199498,0.015069968,7.18E-04,0.001435235,0.004664514,0.002511661,0.020452099,0.033728023,0.007893793,0.37746681,0.063150341,0.022604952,0.020452099,3.59E-04,0,0,0,0,7.18E-04,0.00287047,0.001435235,0.005023323,0.001435235,0,3.59E-04,0.003229279,0.029781127,0.015069968,0.001076426,0.001076426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040545389
'org.eclipse.jdt.junit','org.eclipse.jdt.internal.junit.ui',14,4,1.88,14,47,4.372727273,56,1443,6.984848485,80,2305,1.460606061,5,482,25,3.472222222,28,125,0.16,1,4,8.5,56,306,0.84,1,21,1.027777778,13,37,0.666666667,11,24,0.86969697,7,287,143.56,732,3589,2.13030303,18,703,47,68,28,14,80,0,264,603,60,2,60,37,41,214,25,2,1,4,0,0,902,10,162,37,276,371,413,0,105,0,381,1468,186,248,25,46,43,44,436,1825,245,8956,1188,353,200,12,0,8,7,1,0,23,4,33,36,0,0,37,562,362,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,21293,0.002207298,0.003193538,0.001314986,6.57E-04,0.003757103,0,0.012398441,0.028319166,0.002817827,9.39E-05,0.002817827,0.00173766,0.001925515,0.010050251,0.001174095,9.39E-05,4.70E-05,1.88E-04,0,0,0.042361339,4.70E-04,0.007608134,0.00173766,0.012962006,0.017423566,0.019396046,0,0.004931198,0,0.017893204,0.068942845,0.008735265,0.01164702,0.001174095,0.002160334,0.002019443,0.002066407,0.020476213,0.085708918,0.011506129,0.420607711,0.055792984,0.016578218,0.009392758,5.64E-04,0,3.76E-04,3.29E-04,4.70E-05,0,0.001080167,1.88E-04,0.001549805,0.001690696,0,0,0.00173766,0.02639365,0.017000892,3.76E-04,7.51E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033532147
'org.eclipse.jdt.junit','org.eclipse.jdt.internal.junit.util',2,3,0.454545455,4,5,4.01010101,80,397,6.686868687,118,662,1.585858586,7,157,11,1.692307692,12,22,0.090909091,1,1,4.153846154,18,54,0.909090909,1,10,0.307692308,2,4,3.461538462,9,45,1.494949495,7,148,95.72727273,241,1053,2.464646465,32,244,5,21,11,4,41,0,62,220,24,0,33,4,14,48,11,0,1,0,0,0,220,7,26,22,99,130,100,0,61,0,104,399,42,65,11,24,21,26,140,663,85,2915,376,156,59,1,0,4,0,0,0,1,1,4,13,0,0,22,147,99,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,6762,7.39E-04,0.00310559,0.001626738,5.92E-04,0.006063295,0,0.009168885,0.032534753,0.003549246,0,0.004880213,5.92E-04,0.002070393,0.007098492,0.001626738,0,1.48E-04,0,0,0,0.032534753,0.001035197,0.003845016,0.003253475,0.014640639,0.019225081,0.014788524,0,0.009021,0,0.015380065,0.059006211,0.00621118,0.009612541,0.001626738,0.003549246,0.00310559,0.003845016,0.020703934,0.098047915,0.012570245,0.431085478,0.055604851,0.023070098,0.008725229,1.48E-04,0,5.92E-04,0,0,0,1.48E-04,1.48E-04,5.92E-04,0.001922508,0,0,0.003253475,0.02173913,0.014640639,1.48E-04,0.00310559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029281278
'org.eclipse.jdt.junit','org.eclipse.jdt.internal.junit.wizards',6,5,2,5,18,6.48502994,68,1083,10.41317365,66,1739,2,8,334,9,4.692307692,14,61,0,0,0,12,40,156,1,1,9,1.923076923,9,25,0.846153846,3,11,0.814371257,4,136,268.6666667,741,2418,2.74251497,12,458,18,55,33,23,80,0,236,437,89,7,28,24,6,162,9,7,1,1,0,0,723,3,86,27,201,227,258,0,71,1,187,1084,109,196,9,17,35,41,225,1206,118,6119,757,180,193,6,0,7,4,1,0,1,1,23,13,0,0,27,378,264,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,14385,0.001251303,0.003823427,0.002294056,0.001598888,0.005561349,0,0.016405978,0.030378867,0.006187,4.87E-04,0.001946472,0.001668405,4.17E-04,0.011261731,6.26E-04,4.87E-04,6.95E-05,6.95E-05,0,0,0.050260688,2.09E-04,0.00597845,0.001876955,0.013972888,0.015780327,0.017935349,0,0.004935697,6.95E-05,0.012999652,0.075356274,0.007577338,0.013625304,6.26E-04,0.001181787,0.00243309,0.002850191,0.015641293,0.083837331,0.008202989,0.425373653,0.052624261,0.012513034,0.013416754,4.17E-04,0,4.87E-04,2.78E-04,6.95E-05,0,6.95E-05,6.95E-05,0.001598888,9.04E-04,0,0,0.001876955,0.026277372,0.01835245,6.95E-05,0.001042753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024678485
'org.eclipse.jdt.junit','org.eclipse.jdt.junit',0,0,0,0,0,0,0,0,0.5,2,4,0,0,0,1,0,0,0,1,1,1,8,8,8,0,0,0,3,3,3,0,0,0,2,5,16,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,8,0,0,3,1,0,0,0,16,3,0,43,11,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007194245,0,0,0,0,0,0,0,0.021582734,0,0,0,0,0,0.086330935,0,0.057553957,0,0,0.021582734,0.007194245,0,0,0,0.115107914,0.021582734,0,0.309352518,0.079136691,0.115107914,0,0,0,0,0,0,0,0,0,0,0.007194245,0,0,0,0.021582734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129496403
'org.eclipse.ui.views','org.eclipse.ui.actions',0,0,0,0,0,3.75,6,15,6.75,14,27,1.5,2,6,1,1,1,1,0,0,0,4,4,4,1,1,1,1,1,1,0,0,0,0.75,1,3,51,51,51,2.75,7,11,0,0,0,0,0,0,4,6,1,0,4,0,0,1,1,0,0,0,0,0,10,1,2,0,6,11,8,0,5,0,4,15,6,1,1,1,0,0,2,50,3,145,21,3,3,1,0,1,0,0,0,2,0,0,1,0,1,0,7,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,345,0,0,0,0,0,0,0.011594203,0.017391304,0.002898551,0,0.011594203,0,0,0.002898551,0.002898551,0,0,0,0,0,0.028985507,0.002898551,0.005797101,0,0.017391304,0.031884058,0.023188406,0,0.014492754,0,0.011594203,0.043478261,0.017391304,0.002898551,0.002898551,0.002898551,0,0,0.005797101,0.144927536,0.008695652,0.420289855,0.060869565,0.008695652,0.008695652,0.002898551,0,0.002898551,0,0,0,0.005797101,0,0,0.002898551,0,0.002898551,0,0.020289855,0.014492754,0,0.008695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026086957
'org.eclipse.ui.views','org.eclipse.ui.internal',0,0,0,0,0,0,0,0,1.5,2,3,1,1,2,1,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,1,1,1,0.5,1,1,14,14,14,1,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,4,0,2,0,0,0,1,0,0,0,0,11,1,28,5,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,78,0,0,0,0,0,0,0.012820513,0.025641026,0,0,0,0,0,0,0.012820513,0,0,0,0,0,0.012820513,0,0.025641026,0,0,0.025641026,0,0,0.051282051,0,0.025641026,0,0,0,0.012820513,0,0,0,0,0.141025641,0.012820513,0.358974359,0.064102564,0.012820513,0.012820513,0.012820513,0,0,0,0,0,0.012820513,0,0,0.012820513,0,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128205128
'org.eclipse.ui.views','org.eclipse.ui.views.bookmarkexplorer',3,0,1,8,15,5.206896552,48,604,8.344827586,50,968,1.594827586,5,185,15,2.470588235,21,42,0.066666667,1,1,6.058823529,25,103,0.933333333,1,14,2.176470588,15,37,0.764705882,9,13,0.724137931,4,84,101.6666667,500,1525,2.362068966,13,274,15,40,13,12,36,0,95,233,26,4,33,18,11,87,15,2,0,1,0,0,351,15,79,22,98,175,182,0,82,0,132,610,65,111,15,8,14,27,165,852,89,3881,488,114,95,10,0,6,12,3,0,30,1,18,17,0,2,22,261,160,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,9128,0.001643295,0.004382121,0.001424189,0.001314636,0.003943909,0,0.010407537,0.025525855,0.002848379,4.38E-04,0.00361525,0.001971954,0.001205083,0.009531113,0.001643295,2.19E-04,0,1.10E-04,0,0,0.038453111,0.001643295,0.008654689,0.002410167,0.010736196,0.019171779,0.01993865,0,0.008983348,0,0.014460999,0.066827344,0.007120947,0.012160386,0.001643295,8.76E-04,0.001533742,0.002957932,0.018076249,0.093339176,0.009750219,0.425175285,0.053461876,0.012489045,0.010407537,0.00109553,0,6.57E-04,0.001314636,3.29E-04,0,0.003286591,1.10E-04,0.001971954,0.001862401,0,2.19E-04,0.002410167,0.028593339,0.017528484,1.10E-04,0.001205083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028812445
